电影排名,电影名称,电影年份,国家,电影类型,导演,经典影评,评论数,评分,电影网址
97,七宗罪,1995,美国,剧情 犯罪 悬疑 惊悚, 大卫·芬奇 David Fincher,警察抓小偷，老鼠玩死猫。,983225人评价,8.8,https://movie.douban.com/subject/1292223/
98,一一,2000,中国台湾 日本,剧情 爱情 家庭, 杨德昌 Edward Yang,我们都曾经是一一。,432052人评价,9.1,https://movie.douban.com/subject/1292434/
99,狩猎,2012,丹麦 瑞典,剧情, 托马斯·温特伯格 Thomas Vinterberg,人言可畏。,420065人评价,9.1,https://movie.douban.com/subject/6985810/
100,唐伯虎点秋香,1993,中国香港,喜剧 爱情 古装, 李力持 Lik-Chi Lee,华太师是黄霑，吴镇宇四大才子之一。,1135648人评价,8.7,https://movie.douban.com/subject/1306249/
101,7号房的礼物,2013,韩国,剧情 喜剧 家庭, 李焕庆 Hwan-kyeong Lee,《我是山姆》的《美丽人生》。,583223人评价,8.9,https://movie.douban.com/subject/10777687/
102,被嫌弃的松子的一生,2006,日本,剧情 歌舞, 中岛哲也 Tetsuya Nakashima,以戏谑来戏谑戏谑。,732461人评价,8.8,https://movie.douban.com/subject/1787291/
103,蝙蝠侠：黑暗骑士崛起,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan,诺兰就是保证。,759118人评价,8.9,https://movie.douban.com/subject/3395373/
104,甜蜜蜜,1996,中国香港,剧情 爱情, 陈可辛 Peter Chan,相逢只要一瞬间，等待却像是一辈子。,602700人评价,8.9,https://movie.douban.com/subject/1305164/
105,爱在黎明破晓前,1995,美国 奥地利 瑞士,剧情 爱情, 理查德·林克莱特 Richard Linklater,缘分是个连绵词，最美不过一瞬。,725995人评价,8.8,https://movie.douban.com/subject/1296339/
106,请以你的名字呼唤我,2017,意大利 法国 巴西 美国,剧情 爱情 同性, 卢卡·瓜达尼诺 Luca Guadagnino,沉醉在电影的情感和视听氛围中无法自拔。,763538人评价,8.8,https://movie.douban.com/subject/26799731/
107,第六感,1999,美国,剧情 悬疑 惊悚, M·奈特·沙马兰 M. Night Shyamalan,深入内心的恐怖，出人意料的结局。,586494人评价,8.9,https://movie.douban.com/subject/1297630/
108,超能陆战队,2014,美国,喜剧 动作 科幻 动画 冒险, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,Balalala~~~,1066874人评价,8.8,https://movie.douban.com/subject/11026735/
109,入殓师,2008,日本,剧情, 泷田洋二郎 Y?jir? Takita,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,699995人评价,8.9,https://movie.douban.com/subject/2149806/
110,重庆森林,1994,中国香港,剧情 爱情, 王家卫 Kar Wai Wong,寂寞没有期限。,855547人评价,8.8,https://movie.douban.com/subject/1291999/
111,断背山,2005,美国 加拿大,剧情 爱情 同性 家庭, 李安 Ang Lee,每个人心中都有一座断背山。,735376人评价,8.8,https://movie.douban.com/subject/1418834/
112,剪刀手爱德华,1990,美国,剧情 奇幻 爱情, 蒂姆·波顿 Tim Burton,浪漫忧郁的成人童话。,1070899人评价,8.7,https://movie.douban.com/subject/1292370/
113,幽灵公主,1997,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,人与自然的战争史诗。,553145人评价,8.9,https://movie.douban.com/subject/1297359/
114,寄生虫,2019,韩国,剧情, 奉俊昊 Joon-ho Bong,None,1441019人评价,8.8,https://movie.douban.com/subject/27010768/
115,勇敢的心,1995,美国,动作 传记 剧情 历史 战争, 梅尔·吉布森 Mel Gibson,史诗大片的典范。,576862人评价,8.9,https://movie.douban.com/subject/1294639/
116,爱在日落黄昏时,2004,美国 法国,剧情 爱情, 理查德·林克莱特 Richard Linklater,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,595794人评价,8.9,https://movie.douban.com/subject/1291990/
117,菊次郎的夏天,1999,日本,剧情 喜剧, 北野武 Takeshi Kitano,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,627055人评价,8.9,https://movie.douban.com/subject/1293359/
118,借东西的小人阿莉埃蒂,2010,日本,动画 奇幻 冒险, 米林宏昌 Hiromasa Yonebayashi,曾经的那段美好会沉淀为一辈子的记忆。,584354人评价,8.9,https://movie.douban.com/subject/4202302/
119,未麻的部屋,1997,日本,剧情 犯罪 动画 悬疑 惊悚, 今敏 Satoshi Kon,好的剧本是，就算你猜到了结局也猜不到全部。,374295人评价,9.1,https://movie.douban.com/subject/1395091/
120,消失的爱人,2014,美国,剧情 犯罪 悬疑 惊悚, 大卫·芬奇 David Fincher,年度最佳date movie。,1004400人评价,8.7,https://movie.douban.com/subject/21318488/
121,无人知晓,2004,日本,剧情, 是枝裕和 Hirokazu Koreeda,我的平常生活就是他人的幸福。,341416人评价,9.1,https://movie.douban.com/subject/1292337/
122,时空恋旅人,2013,英国 美国,喜剧 爱情 奇幻, 理查德·柯蒂斯 Richard Curtis,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,719136人评价,8.8,https://movie.douban.com/subject/10577869/
123,阳光灿烂的日子,1994,中国大陆 中国香港,剧情 爱情, 姜文 Wen Jiang,一场华丽的意淫。,644189人评价,8.8,https://movie.douban.com/subject/1291875/
124,完美的世界,1993,美国,剧情 犯罪, 克林特·伊斯特伍德 Clint Eastwood,坏人的好总是比好人的好来得更感人。,333303人评价,9.1,https://movie.douban.com/subject/1300992/
125,倩女幽魂,1987,中国香港,爱情 奇幻 武侠 古装, 程小东 Siu-Tung Ching,两张绝世的脸。 ,770489人评价,8.8,https://movie.douban.com/subject/1297447/
126,天使爱美丽,2001,法国 德国,剧情 喜剧 爱情, 让-皮埃尔·热内 Jean-Pierre Jeunet,法式小清新。 ,980356人评价,8.7,https://movie.douban.com/subject/1292215/
127,小森林 夏秋篇,2014,日本,剧情, 森淳一 Junichi Mori,那些静得只能听见呼吸的日子里，你明白孤独即生活。,443901人评价,9,https://movie.douban.com/subject/25814705/
128,哈利·波特与火焰杯,2005,英国 美国,悬疑 奇幻 冒险, 迈克·内威尔 Mike Newell,None,707867人评价,8.8,https://movie.douban.com/subject/1309055/
129,侧耳倾听,1995,日本,剧情 爱情 动画, 近藤喜文 Yoshifumi Kondo,少女情怀总是诗。,488433人评价,8.9,https://movie.douban.com/subject/1297052/
130,驯龙高手,2010,美国,动画 奇幻 冒险, 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,和谐的生活离不开摸头与被摸头。,793952人评价,8.8,https://movie.douban.com/subject/2353023/
131,茶馆,1982(中国大陆),中国大陆,剧情 历史, 谢添 Tian Xie,None,169688人评价,9.6,https://movie.douban.com/subject/1461403/
132,幸福终点站,2004,美国,喜剧 剧情 爱情, 史蒂文·斯皮尔伯格 Steven Spielberg,有时候幸福需要等一等。 ,599973人评价,8.8,https://movie.douban.com/subject/1292274/
133,教父3,1990,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola,任何信念的力量，都无法改变命运。,396671人评价,9,https://movie.douban.com/subject/1294240/
134,一个叫欧维的男人决定去死,2015,瑞典,剧情, 汉内斯·赫尔姆 Hannes Holm,惠及一生的美丽。,515352人评价,8.9,https://movie.douban.com/subject/26628357/
135,怪兽电力公司,2001,美国,儿童 喜剧 动画 奇幻 冒险, 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,不要给它起名字，起了名字就有感情了。,712036人评价,8.8,https://movie.douban.com/subject/1291579/
136,新世界,2013,韩国,剧情 犯罪, 朴勋政 Hoon-jung Park,要做就做得狠一点，这样才能活下去。,475226人评价,8.9,https://movie.douban.com/subject/10437779/
137,傲慢与偏见,2005,法国 英国 美国,剧情 爱情, 乔·怀特 Joe Wright,爱是摈弃傲慢与偏见之后的曙光。,847097人评价,8.7,https://movie.douban.com/subject/1418200/
138,玩具总动员3,2010,美国,喜剧 动画 奇幻 冒险, 李·昂克里奇 Lee Unkrich,跨度十五年的欢乐与泪水。,547576人评价,8.9,https://movie.douban.com/subject/1858711/
139,小森林 冬春篇,2015,日本,剧情, 森淳一 Junichi Mori,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,395504人评价,9,https://movie.douban.com/subject/25814707/
140,萤火之森,2011,日本,剧情 爱情 动画 奇幻, 大森贵弘 Takahiro Omori,触不到的恋人。,568153人评价,8.9,https://movie.douban.com/subject/5989818/
141,被解救的姜戈,2012,美国,剧情 动作 西部 冒险, 昆汀·塔伦蒂诺 Quentin Tarantino,热血沸腾，那个低俗、性感的无耻混蛋又来了。,641351人评价,8.8,https://movie.douban.com/subject/6307447/
142,釜山行,2016,韩国,动作 惊悚 灾难, 延尚昊 Sang-ho Yeon,揭露人性的丧尸题材力作。,1258406人评价,8.6,https://movie.douban.com/subject/25986180/
